listing_id,host_id,host_since,city,neighbourhood,property_type,room_type,price_per_night,minimum_nights,number_of_reviews,last_review_date,review_score,availability_365,instant_bookable,host_is_superhost,cancellation_policy,description
1,4174,2022-03-04,Eldoret,Kilimani,House,Entire home/apt,"KES 5,635",3,49,,3.56,167,Yes,1,Flexible,Spacious apartment with great view!!!
2,4507,2016-04-01,Nairobi,Karen,Condo,Shared room,16611,7,231,2017-08-25,3.99,276,0,False,super_strict_30,Affordable stay $$$
3,1860,2015-04-13,Mombasa,Karen,House,Entire home/apt,13464,7,294,2021-07-10,4.83,155,Y,0,Flexible,
4,2294,2023-04-26,Eldoret,Karen,Apartment,Entire home/apt,10211,2,11,2025-01-11,3.54,22,No,0,flexible,"Quiet neighborhood, perfect for families"
5,2130,2018-01-31,Mombasa,Nyali,Condo,Entire home/apt,9404,5,14,2022-06-18,4.11,199,False,Yes,flexible,Modern loft -- newly renovated
6,2095,2017-09-30,Nakuru,Nyali,Bungalow,Hotel room,3783,1,27,2021-09-05,3.55,274,0,No,Strict ,Cozy place near city center
7,4772,2017-07-03,Nakuru,Milimani,Villa,Entire home/apt,"KES 22,442",seven,291,2018-05-10,4.06,49,0,No,moderate,Spacious apartment with great view!!!
8,4092,2016-07-25,Nakuru,Nyali,Loft,Entire home/apt,23231,1,249,2023-10-20,3.76,185,0,N,flexible,Luxury villa with pool & gym access
9,2638,2023-04-05,Nairobi,Langata,House,Private room,"KES 23,828",14,97,2021-06-04,,19,No,False,moderate,Luxury villa with pool & gym access
10,3169,2016-02-24,Nakuru,Langata,Apartment,Private room,3977,30,38,2023-01-04,3.88,115,False,0,strict,Modern loft -- newly renovated
11,1466,2022-08-03,Eldoret,Westlands,Villa,Hotel room,4593,3,37,2023-04-09,4.82,91,False,N,,"Quiet neighborhood, perfect for families"
12,2238,2023-04-22,Mombasa,Parklands,Loft,Entire home/apt,8707,1,299,2018-09-04,,348,False,0,strict,Cozy place near city center
13,1330,2025-01-02,Kisumu,Milimani,Villa,Private room,10894,30,178,2017-02-27,4.15,338,1,Y,Strict ,Affordable stay $$$
14,2482,2021-02-11,Eldoret,Parklands,Loft,Private room,16341,3,96,2019-01-19,3.91,52,No,No,strict,Cozy place near city center
15,3135,2015-12-23,Eldoret,Kilimani,Bungalow,Shared room,"KES 7,727",,281,2016-08-23,,122,Y,Yes,Flexible,Cozy place near city center
